ReadingDate,SerialNumber,PhaseA_voltage,PhaseB_voltage,PhaseC_voltage,PhaseA_current,PhaseB_current,PhaseC_current,PhaseA_activePower,PhaseB_activePower,PhaseC_activePower,PhaseABC_activePower,PhaseA_reactivePower,PhaseB_reactivePower,PhaseC_reactivePower,PhaseABC_reactivePower,LineFrequency,MeterTemperature
05/06/24 08:57:11,55000052,129.39300537109375,129.4820098876953,129.10000610351562,36.332000732421875,24.535001754760742,33.393001556396484,4620.0,3077.0,3896.0,11593.0,131.0,283.0,1645.0,2059.0,60.02000045776367,24.899999618530273
05/06/24 08:57:18,55000052,128.8470001220703,128.93600463867188,128.69801330566406,42.00300216674805,30.330001831054688,38.81300354003906,5475.0,3966.0,4785.0,14226.0,88.0,273.0,1571.0,1932.0,60.029998779296875,24.899999618530273
05/06/24 08:57:25,55000052,129.0600128173828,129.239013671875,128.86199951171875,44.27300262451172,36.46900177001953,44.797000885009766,5531.0,4389.0,5120.0,15040.0,1455.0,1721.0,2665.0,5841.0,60.029998779296875,24.899999618530273
05/06/24 08:57:32,55000052,128.9810028076172,129.1750030517578,128.89601135253906,45.70500183105469,37.49500274658203,45.634002685546875,5709.0,4532.0,5243.0,15484.0,1428.0,1659.0,2621.0,5708.0,60.029998779296875,24.899999618530273
05/06/24 08:57:39,55000052,129.07000732421875,129.16500854492188,128.74700927734375,47.01100158691406,38.94700241088867,47.0880012512207,5810.0,4657.0,5381.0,15848.0,1455.0,1674.0,2630.0,5759.0,60.03999710083008,24.899999618530273
05/06/24 08:57:46,55000052,129.01100158691406,129.15000915527344,128.73800659179688,53.310001373291016,45.255001068115234,53.255001068115234,6802.0,5659.0,6409.0,18870.0,1397.0,1668.0,2573.0,5638.0,60.03999710083008,24.899999618530273
05/06/24 08:57:53,55000052,129.21400451660156,129.2790069580078,128.94100952148438,46.25600051879883,38.1670036315918,46.217002868652344,5797.0,4632.0,5336.0,15765.0,1428.0,1691.0,2628.0,5747.0,60.04999923706055,24.899999618530273
05/06/24 08:58:00,55000052,129.00601196289062,129.2340087890625,128.906005859375,46.02300262451172,37.887001037597656,46.02400207519531,5753.0,4587.0,5305.0,15645.0,1436.0,1669.0,2614.0,5719.0,60.04999923706055,25.0
05/06/24 08:58:07,55000052,129.04000854492188,129.14500427246094,128.72801208496094,46.32500076293945,38.30600357055664,46.39900207519531,5716.0,4568.0,5278.0,15562.0,1433.0,1658.0,2619.0,5710.0,60.029998779296875,25.0
05/06/24 08:58:14,55000052,129.125,129.24400329589844,128.84201049804688,52.458003997802734,44.55600357055664,52.13300323486328,6687.0,5567.0,6237.0,18491.0,1409.0,1665.0,2605.0,5679.0,60.0099983215332,25.0
05/06/24 08:58:21,55000052,129.15000915527344,129.3140106201172,128.9110107421875,45.557003021240234,37.52799987792969,45.570003509521484,5705.0,4551.0,5242.0,15498.0,1428.0,1664.0,2634.0,5726.0,60.02000045776367,25.0
05/06/24 08:58:28,55000052,129.07000732421875,129.3040008544922,128.89100646972656,45.480003356933594,37.4170036315918,45.59300231933594,5686.0,4528.0,5238.0,15452.0,1421.0,1662.0,2625.0,5708.0,60.02000045776367,25.0
05/06/24 08:58:35,55000052,129.09500122070312,129.2239990234375,128.97601318359375,46.323001861572266,38.070003509521484,46.277000427246094,5727.0,4538.0,5265.0,15530.0,1419.0,1671.0,2632.0,5722.0,60.02000045776367,25.0
05/06/24 08:58:42,55000052,129.02101135253906,129.31900024414062,129.02101135253906,50.65400314331055,43.52400207519531,46.452003479003906,6119.0,5284.0,5297.0,16700.0,2051.0,1658.0,2625.0,6334.0,60.03999710083008,25.0
05/06/24 08:58:49,55000052,128.8820037841797,129.0800018310547,128.97601318359375,56.80400085449219,49.6140022277832,52.60300064086914,7117.0,6258.0,6320.0,19695.0,1977.0,1633.0,2590.0,6200.0,60.04999923706055,25.0
05/06/24 08:58:56,55000052,129.44801330566406,129.72601318359375,129.4029998779297,38.236000061035156,28.455001831054688,32.03700256347656,4898.0,3676.0,3798.0,12372.0,707.0,233.0,1641.0,2581.0,60.04999923706055,25.0
05/06/24 08:59:03,55000052,129.21400451660156,129.41799926757812,129.0900115966797,38.35300064086914,28.181001663208008,32.10200119018555,4897.0,3624.0,3794.0,12315.0,678.0,230.0,1631.0,2539.0,60.02000045776367,24.899999618530273
05/06/24 08:59:10,55000052,129.2740020751953,129.47300720214844,129.20899963378906,38.746002197265625,28.65900230407715,32.512001037597656,4878.0,3612.0,3774.0,12264.0,665.0,240.0,1641.0,2546.0,60.0,24.899999618530273
05/06/24 08:59:17,55000052,129.15000915527344,129.3830108642578,129.04501342773438,45.198001861572266,35.194000244140625,38.788002014160156,5867.0,4607.0,4789.0,15263.0,647.0,230.0,1604.0,2481.0,60.0,24.899999618530273
05/06/24 08:59:24,55000052,129.32400512695312,129.5120086669922,129.1800079345703,38.2390022277832,28.051000595092773,32.009002685546875,4900.0,3620.0,3786.0,12306.0,648.0,216.0,1637.0,2501.0,60.0099983215332,24.899999618530273
05/06/24 08:59:31,55000052,129.28900146484375,129.4820098876953,129.1800079345703,38.138999938964844,27.854001998901367,32.09300231933594,4882.0,3585.0,3797.0,12264.0,623.0,218.0,1636.0,2477.0,60.0099983215332,24.899999618530273
05/06/24 08:59:38,55000052,129.2790069580078,129.52200317382812,129.16000366210938,38.67500305175781,28.53400230407715,32.665000915527344,4878.0,3604.0,3805.0,12287.0,623.0,228.0,1632.0,2483.0,60.02000045776367,24.899999618530273
05/06/24 08:59:46,55000052,129.25900268554688,129.4630126953125,129.15499877929688,44.659000396728516,33.98500061035156,38.16100311279297,5817.0,4464.0,4711.0,14992.0,598.0,214.0,1605.0,2417.0,60.02000045776367,24.899999618530273
05/06/24 08:59:53,55000052,129.3090057373047,129.5170135498047,129.1750030517578,38.18400192260742,27.298002243041992,32.15299987792969,4896.0,3520.0,3815.0,12231.0,618.0,211.0,1627.0,2456.0,60.0099983215332,24.899999618530273
05/06/24 09:00:00,55000052,129.2340087890625,129.49200439453125,129.125,38.310001373291016,27.31100082397461,32.676002502441406,4906.0,3516.0,3883.0,12305.0,608.0,206.0,1617.0,2431.0,60.0099983215332,25.0
